year,season,evaluation,method,vegetation_formation,station_id,species,density_ind_ha
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 01,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 02,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 03,30.859
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 04,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 05,103.807
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 06,58.029
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 07,145.634
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 08,28.861
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 01,20.615
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 02,38.966
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 03,38.499
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 04,49.086
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 05,52.365
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 06,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 07,73.873
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 08,83.267
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 01,52.682
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 02,35.623
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 03,74.721
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 04,61.472
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 05,81.443
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 06,22.594
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 07,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 08,138.831
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 01,12.902
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 02,12.383
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 03,81.006
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 04,52.318
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 05,47.956
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 06,666.477
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 07,27.999
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 08,134.047
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 01,46.437
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 02,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 03,19.965
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 04,20.008
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 05,15.764
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 06,23.073
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 07,21.372
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 08,55.795
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 01,25.892
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 02,15.886
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 03,106.851
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 04,42.922
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 05,24.851
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 06,68.065
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 07,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 08,32.89
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 01,16.373
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 02,80.144
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 03,11.685
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 04,52.456
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 05,16.664
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 06,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 07,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 08,78.938
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 01,9.624
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 02,112.997
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 03,69.397
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 04,65.194
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 05,5.844
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 06,25.325
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 07,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 08,28.899
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 01,13.71
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 02,27.716
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 03,30.287
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 04,49.058
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 05,42.053
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 06,20.725
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 07,13.78
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 08,11.378
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-06,Protected species 01,88.003
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-06,Protected species 02,51.744
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-06,Protected species 03,0
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-06,Protected species 04,21.418
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-06,Protected species 05,37.25
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-06,Protected species 06,15.667
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-06,Protected species 07,80.989
2012,Wet season,2012,Nearest-neighbor density survey,Vegetation formation C,C-06,Protected species 08,9.764
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 01,65.299
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 02,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 03,64.475
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 04,93.768
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 05,163.407
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 06,57.461
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 07,42.017
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-01,Protected species 08,197.132
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 01,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 02,56.819
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 03,61.202
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 04,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 05,568.076
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 06,46.247
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 07,57.033
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-02,Protected species 08,41.051
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 01,103.92
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 02,35.72
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 03,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 04,30.351
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 05,29.508
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 06,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 07,258.785
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-03,Protected species 08,85.732
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 01,42.7
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 02,104.138
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 03,27.703
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 04,65.128
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 05,26.274
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 06,48.265
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 07,165.674
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-04,Protected species 08,91.705
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 01,27.067
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 02,184.718
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 03,54.681
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 04,47.946
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 05,68.839
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 06,33.099
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 07,150.431
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-05,Protected species 08,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 01,36.076
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 02,39.988
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 03,22.187
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 04,193.518
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 05,29.343
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 06,507.96
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 07,96.621
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation A,A-06,Protected species 08,74.273
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 01,15.099
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 02,19.29
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 03,60.882
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 04,66.593
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 05,230.498
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 06,41.811
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 07,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-01,Protected species 08,117.498
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 01,55.272
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 02,79.822
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 03,38.004
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 04,207.273
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 05,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 06,24.633
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 07,95.661
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-02,Protected species 08,85.693
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 01,19.076
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 02,72.824
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 03,19.889
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 04,95.861
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 05,68.684
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 06,142.964
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 07,22.143
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-03,Protected species 08,93.973
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 01,15.633
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 02,19.321
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 03,17.621
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 04,50.563
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 05,36.758
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 06,75.395
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 07,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-04,Protected species 08,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 01,28.493
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 02,33.431
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 03,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 04,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 05,53.789
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 06,54.929
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 07,32.814
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-05,Protected species 08,193.863
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 01,15.299
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 02,22.96
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 03,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 04,198.206
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 05,163.516
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 06,29.804
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 07,35.407
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation B,B-06,Protected species 08,39.733
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 01,10.429
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 02,59.181
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 03,35.477
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 04,7.261
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 05,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 06,32.661
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 07,18.84
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-01,Protected species 08,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 01,17.586
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 02,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 03,5.665
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 04,32.577
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 05,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 06,44.14
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 07,33.062
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-02,Protected species 08,21.799
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 01,24.507
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 02,14.385
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 03,62.422
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 04,12.474
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 05,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 06,32.237
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 07,149.106
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-03,Protected species 08,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 01,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 02,19.922
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 03,16.318
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 04,63.074
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 05,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 06,93.293
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 07,271.56
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-04,Protected species 08,25.627
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 01,25.497
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 02,11.392
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 03,29.774
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 04,22.371
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 05,38.577
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 06,60.336
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 07,68.173
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-05,Protected species 08,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-06,Protected species 01,9.727
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-06,Protected species 02,22.23
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-06,Protected species 03,10.736
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-06,Protected species 04,14.657
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-06,Protected species 05,0
2012,Dry season,2012.5,Nearest-neighbor density survey,Vegetation formation C,C-06,Protected species 06,18.553
